tweet	label
Izmir mv @avhamzadag neden izmirde multecilere yatili okul yapmak istiyorsunuz? Amaciniz nedir? Bu multeciler geldikleri gibi gidecekler! Oraya o okul yapilmayacak! https://t.co/h02lKPvd0a	False
Açız, mutfak masrafları, Kira, okul giderleri, faturalar derken elimiz de hiç para kalmazken, insan gibi yaşayamazsın, saraya yapilan masraflar, yazlık saraylar, 3. Ülkelere yapılan yardımlar, vakıflara peşkeş çekilen yerler, mültecilere harcanan paralar #BöyleBirLüksümüzYok	Other
@yyunikonn İzmire yığılma olur diye yorumladim.zira mülteci okulları için izmir pilot bölge seçildi 4 tane okul yapılacak yada dönüşecek geçen gördüm bir okulun duvarında kocaman pankart	False
"❌ MEB'in İzmir’de mültecilere özel dört okul yapacağı iddiası yanlış.

Okullar Milli Eğitim Bakanlığı tarafından Avrupa Birliği finansal desteği ile yapılıyor. Tamamlandıklarında ise inşa edilen bölgede ikamet eden tüm çocukların kullanımına açılacaklar.
https://t.co/n83E5o1HR2"	True
"@wolfintoaction Çok gerekliyse ülkeye göçmen de alınır mülteci de alınır. Ama ülke olarak bir anda bu kadar insanı kaldıracak alt yapımız yok ki. Hastane, okul , barınma , iş vs vs bir sürü konu var. 
Ülkede ciddi boyutta emlak krizi var mesela. Ev fiyatları bir çok bölgede 1 yılda x2 oldu."	Other
"İYİ Parti'li Türkkan'dan yeni algı çalışması: 'Mültecilere okul yapılacak'

https://t.co/A28pVbRScK"	True
nerde izmir büyükşehir belediye başkanı denen kişi? geçen gün bi kaç açıklaması vardı şöyle bakarız böyle bakarız diye, mültecilere şehrin merkezinde okul yapılması demek çok korkunç böyle bi şey kabul edilemez. https://t.co/2buXUgkV6l	False
İYİ Partili Lütfü Türkkan dan mültecilere okul yalanıyla kışkırtma https://t.co/oTgszxPv7H	True
bu 'izmir'e okul' meselesi de net siyasi hamle bu arada; tunç soyer'e sığınmacı yaklaşımı üzerinden böyle saldırıldı diye sığınmacı yoğunluğunun olduğu diğer yerleri hiçe sayıp izmir'e okul açıyorlar, akp ciddi ciddi izmir'i mülteci nefretiyle 'fethedeceğini' düşünüyor 🤢	False
"@ruhumasena2 @Aslidiyorki74 @KAFKAS_60 @ekf_27 @az_er__ @Nurum___ @duygulu_23 @meric546154 @ozler_melek @Vatan_Fedaisi__ @Abhaztorunu @masum1genc @Boztepe_Husna @PASAKIZI_4107 @ozgr_Ozel_1 @ayhkp34 @Asan_5535 @Dava_0618 @RabiA_270 @Eftelya3435 @vildan1420 @nermincglrclk 'Mültecilere okul' yalanıyla kışkırtma peşinde olan #LütfüTürkkan, meğer buharlaştırdığı 36 milyon doları perdelemeye çalışıyormuş

Türkkan'ın çiftlikleri için kamu bankalarından çektiği 36 milyon dolarlık krediyi buharlaştırdığı ortaya çıktı."	True
MEB'den İzmir'deki okul için açıklama: Ağaçlar kesilmedi, 'Mülteci' iddiası doğru değil! https://t.co/Mcd0eyJfQR #izmir https://t.co/jf07JPJ4KU	True
@KORDELYAz okul yapılıyor ama bir fark var. mültecilere yapılıyor.	False
@havaharpistiyor @emir_brown_cxdx @ogrenci_haber Kanka dsö okulların açılmasından yana da böyle açılmasından yana değil dünaydakı açık tüm ülkelere bak sınıflar 10 kişi bir sürü önlem var okul 3 gün ve gitmek zorunlu değil ama bizim okullar mülteci kampı gibi	Other
"'Mültecilere okul' yalanıyla kışkırtma peşinde olan #LütfüTürkkan, meğer buharlaştırdığı 36 milyon doları perdelemeye çalışıyormuş

Türkkan'ın çiftlikleri için kamu bankalarından çektiği 36 milyon dolarlık krediyi buharlaştırdığı ortaya çıktı."	True
Ülkede o kadar çok sözde mülteci var ki tek bir yerde toplansalar İstanbul'dan sonra ülkenin en büyük ili olurlar. Memlekette bu kadar kişiyi barındıracak ne su, ne toprak, ne okul, ne de hastane var, gelecekte hiç olmayacak kontrolsüz nüfus artışı demek fakirlik demek. #suriyeli	Other
"**İstiklal madalyası sahibi Milli Eğ. Bak. Mustafa Necati’nin adını taşıyan 93 yıllık tarihi NECATİBEY İLKOKULU yıkılarak Suriyeliler için Almanların parasını verdiği okul yapılacakmış.**
✅MEB'den İzmir'deki okul için açıklama: 
Ağaçlar kesilmedi, 'Mülteci' iddiası doğru değil! https://t.co/7zCgyORXYC"	True
@muhsadsenel1 Bizzat Hollanda'da okul için 2 ay kalacak yer aradım, zor buldum. Bunun sebebi ülkede inşaat sektörünün olmaması ve akın akın gelen mülteci krizi. Toprak değerli olduğu için devlet ev yaptırmıyor, her yer tarla.	Other
@tcmeb Suriyelileri mi saymıyorlar acaba o zaman benim sınıfta öğrenci yok sonucu çıkıyor okul okul degil mülteci kampı çünkü biz Suriyelileri eğitmek için senelerce eğitim almışız haberimiz yok onlar çocuk yapmaya devam etsinler bizim çocuklarımız onlar yüzünden kaliteli eğitim alamıyr	Other
"""#Zillet'in gündem hırsızlığı nöbetinde sıra arazi mafyası #Lütfü'de: ""İstiklal Madalyası sahibi Milli Eğitim Eski Bakanı Mustafa Necati’nin adını taşıyan İzmir’deki 93 yıllık tarihi okul, ""sığınmacılara okul yapılmak üzere"" yıkıldı."" 🙄

https://t.co/Ybiz4RrwYq"	False
"@turkcan42 @hamzaerbay54 @HilalKa16295221 @Nurdanbirsayfa ""aşı"" neye deniyor? devlet kim? virüs kime neye göre bulaşıyor? belediye otobüsü=şehirlerarası otobüs, tren=tramvay, konser=okul, miting=fabrika, Türk=turist-mülteci...Bu virüs nerede neye göre yasak. Sıkıyorsa şehir içi taşımacılıkta pcr yada aşı zorunluluğu yapılsın hadi"	Other
@35_izmir_1903 Benim yeni okul belli oldu artık kendimi mülteci hissediyom eğitim şart bari ülkenin sahibi afganlarla suriyelilere bi hizmetim olsun	Other
İyi Parti'li Türkkan'dan Çirkin Provokasyon! 'Mültecilere okul' yalanıyla kışkırtma! - https://t.co/CgVAfsFMqX https://t.co/zUG0ViTtna	True
